Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
172,Melvin Gordon,LAC,RB,3,KC,2,11,5.5,1,0,0,0,0,0,0,7.1,7.1
172,Todd Gurley,LAR,RB,11,MIN,4,11,2.8,1,0,0,0,0,0,0,7.1,7.1
172,Tevin Coleman,ATL,RB,11,SEA,6,11,1.8,1,0,0,0,0,0,0,7.1,7.1
172,Tommy Bohanon,JAX,FB,1,HOU,1,0,0,0,1,1,1,1,0,0,7.1,7.1
172,Austin Ekeler,LAC,RB,7,DEN,0,0,0,0,1,1,1,1,0,0,7.1,7.1
172,Roosevelt Nix,PIT,RB,14,BAL,0,0,0,0,1,1,1,1,0,0,7.1,7.1
183,Marshawn Lynch,OAK,RB,12,DEN,4,10,2.5,1,0,0,0,0,0,0,7,7
183,Jordan Howard,CHI,RB,1,ATL,2,10,5,1,1,0,0,0,0,0,7,7
185,Frank Gore,IND,RB,2,ARI,4,9,2.2,1,1,0,0,0,0,0,6.9,6.9
185,Alex Collins,BAL,RB,12,HOU,2,9,4.5,1,0,0,0,0,0,0,6.9,6.9
185,Deandre Washington,OAK,RB,13,NYG,1,9,9,1,0,0,0,0,0,0,6.9,6.9
185,Mike Tolbert,BUF,FB,1,NYJ,3,9,3,1,0,0,0,0,0,0,6.9,6.9
185,Chris Ivory,JAX,RB,7,IND,5,9,1.8,1,0,0,0,0,0,0,6.9,6.9
190,Rod Smith,DAL,RB,12,LAC,2,8,4,1,0,0,0,0,0,0,6.8,6.8
190,Dalvin Cook,MIN,RB,4,DET,2,8,4,1,0,0,0,0,0,0,6.8,6.8
190,Tevin Coleman,ATL,RB,6,MIA,2,8,4,1,0,0,0,0,0,0,6.8,6.8
190,Orleans Darkwa,NYG,RB,11,KC,4,8,2,1,1,0,0,0,0,0,6.8,6.8
190,CJ Anderson,DEN,RB,11,CIN,2,8,4,1,0,0,0,0,0,0,6.8,6.8
190,Corey Grant,JAX,RB,15,HOU,1,8,8,1,0,0,0,0,0,0,6.8,6.8
190,Latavius Murray,MIN,RB,15,CIN,4,8,2,1,0,0,0,0,0,0,6.8,6.8
197,Chris Thompson,WAS,RB,2,LAR,1,7,7,1,1,0,0,0,0,0,6.7,6.7
197,Le'Veon Bell,PIT,RB,8,DET,2,7,3.5,1,0,0,0,0,0,0,6.7,6.7
197,Malcolm Brown,LAR,RB,1,IND,3,7,2.3,1,0,0,0,0,0,0,6.7,6.7
197,Leonard Fournette,JAX,RB,14,SEA,4,7,1.8,1,0,0,0,0,0,0,6.7,6.7
197,Melvin Gordon,LAC,RB,14,WAS,5,7,1.4,1,0,0,0,0,0,0,6.7,6.7
202,Joe Mixon,CIN,RB,5,BUF,3,6,2,1,0,0,0,0,0,0,6.6,6.6
202,Terrance West,BAL,RB,2,CLE,2,6,3,1,0,0,0,0,0,0,6.6,6.6
202,Alvin Kamara,NO,RB,9,TB,1,6,6,1,0,0,0,0,0,0,6.6,6.6
202,Tion Green,DET,RB,13,BAL,2,6,3,1,0,0,0,0,0,0,6.6,6.6
202,Todd Gurley,LAR,RB,1,IND,2,6,3,1,0,0,0,0,0,0,6.6,6.6
202,Ty Montgomery,GB,RB,1,SEA,1,6,6,1,0,0,0,0,0,0,6.6,6.6
202,Devonta Freeman,ATL,RB,4,BUF,4,6,1.5,1,0,0,0,0,0,0,6.6,6.6
202,Leonard Fournette,JAX,RB,3,BAL,4,6,1.5,1,0,0,0,0,0,0,6.6,6.6
202,DeMarco Murray,TEN,RB,16,LAR,1,6,6,1,0,0,0,0,0,0,6.6,6.6
202,Giovani Bernard,CIN,RB,15,MIN,2,6,3,1,0,0,0,0,0,0,6.6,6.6
202,Rex Burkhead,NE,RB,15,PIT,3,6,2,1,0,0,0,0,0,0,6.6,6.6
213,Terrance West,BAL,RB,1,CIN,2,5,2.5,1,0,0,0,0,0,0,6.5,6.5
213,LeGarrette Blount,PHI,RB,3,NYG,3,5,1.7,1,0,0,0,0,0,0,6.5,6.5
213,Adrian Peterson,ARI,RB,6,TB,5,5,1,1,0,0,0,0,0,0,6.5,6.5
216,Marshawn Lynch,OAK,RB,2,NYJ,3,4,1.3,1,0,0,0,0,0,0,6.4,6.4
216,Rob Kelley,WAS,RB,8,DAL,2,4,2,1,0,0,0,0,0,0,6.4,6.4
216,Jamaal Williams,GB,RB,12,PIT,3,4,1.3,1,0,0,0,0,0,0,6.4,6.4
216,Lamar Miller,HOU,RB,12,BAL,1,4,4,1,1,0,0,0,0,0,6.4,6.4
216,Theo Riddick,DET,RB,13,BAL,1,4,4,1,0,0,0,0,0,0,6.4,6.4
216,Elijhaa Penny,ARI,RB,13,LAR,2,4,2,1,0,0,0,0,0,0,6.4,6.4
216,Robert Turbin,IND,RB,4,SEA,3,4,1.3,1,0,0,0,0,0,0,6.4,6.4
216,Deandre Washington,OAK,RB,7,KC,1,4,4,1,0,0,0,0,0,0,6.4,6.4
216,Alex Collins,BAL,RB,11,GB,3,4,1.3,1,0,0,0,0,0,0,6.4,6.4
216,Kenjon Barner,PHI,RB,11,DAL,1,4,4,1,0,0,0,0,0,0,6.4,6.4
216,Orleans Darkwa,NYG,RB,15,PHI,3,4,1.3,1,0,0,0,0,0,0,6.4,6.4
227,Jalston Fowler,TEN,RB,2,JAX,1,3,3,1,0,0,0,0,0,0,6.3,6.3
227,Marshawn Lynch,OAK,RB,9,MIA,1,3,3,1,0,0,0,0,0,0,6.3,6.3
227,Jonathan Stewart,CAR,RB,12,NYJ,3,3,1,1,0,0,0,0,0,0,6.3,6.3
227,Orleans Darkwa,NYG,RB,13,OAK,2,3,1.5,1,0,0,0,0,0,0,6.3,6.3
227,Kerwynn Williams,ARI,RB,1,DET,1,3,3,1,0,0,0,0,0,0,6.3,6.3
227,Jordan Howard,CHI,RB,4,GB,1,3,3,1,0,0,0,0,0,0,6.3,6.3
227,Wendell Smallwood,PHI,RB,4,LAC,1,3,3,1,0,0,0,0,0,0,6.3,6.3
227,Jerick McKinnon,MIN,RB,6,GB,1,3,3,1,0,0,0,0,0,0,6.3,6.3
227,Joe Mixon,CIN,RB,10,TEN,1,3,3,1,0,0,0,0,0,0,6.3,6.3
227,D'Onta Foreman,HOU,RB,11,ARI,1,3,3,1,0,0,0,0,0,0,6.3,6.3
227,Rex Burkhead,NE,RB,14,MIA,1,3,3,1,0,0,0,0,0,0,6.3,6.3
238,Marshawn Lynch,OAK,RB,5,BAL,3,2,0.7,1,0,0,0,0,0,0,6.2,6.2
238,Jonathan Stewart,CAR,RB,13,NO,1,2,2,1,0,0,0,0,0,0,6.2,6.2
238,Marlon Mack,IND,RB,1,LAR,3,2,0.7,1,0,0,0,0,0,0,6.2,6.2
238,Ameer Abdullah,DET,RB,4,MIN,2,2,1,1,1,0,0,0,0,0,6.2,6.2
238,Carlos Hyde,SF,RB,14,HOU,1,2,2,1,0,0,0,0,0,0,6.2,6.2
238,Kareem Hunt,KC,RB,14,OAK,2,2,1,1,0,0,0,0,0,0,6.2,6.2
244,Zach Zenner,DET,RB,5,CAR,1,1,1,1,0,0,0,0,0,0,6.1,6.1
244,Leonard Fournette,JAX,RB,2,TEN,1,1,1,1,0,0,0,0,0,0,6.1,6.1
244,CJ Ham,MIN,RB,2,PIT,1,1,1,1,0,0,0,0,0,0,6.1,6.1
244,Melvin Gordon,LAC,RB,2,MIA,1,1,1,1,1,0,0,0,0,0,6.1,6.1
244,Jamaal Williams,GB,RB,9,DET,1,1,1,1,0,0,0,0,0,0,6.1,6.1
244,Jamize Olawale,OAK,FB,8,BUF,1,1,1,1,0,0,0,0,0,0,6.1,6.1
244,Jonathan Stewart,CAR,RB,8,TB,1,1,1,1,0,0,0,0,0,0,6.1,6.1
244,Duke Johnson,CLE,RB,4,CIN,2,1,0.5,1,0,0,0,0,0,0,6.1,6.1
244,Bilal Powell,NYJ,RB,3,MIA,2,1,0.5,1,0,0,0,0,0,0,6.1,6.1
244,Dion Lewis,NE,RB,6,NYJ,1,1,1,1,0,0,0,0,0,0,6.1,6.1
244,Andre Ellington,ARI,RB,10,SEA,1,1,1,1,0,0,0,0,0,0,6.1,6.1
244,Tevin Coleman,ATL,RB,10,DAL,4,1,0.2,1,0,0,0,0,0,0,6.1,6.1
244,TJ Yeldon,JAX,RB,16,SF,2,1,0.5,1,0,0,0,0,0,0,6.1,6.1
244,Leonard Fournette,JAX,RB,16,SF,1,1,1,1,0,0,0,0,0,0,6.1,6.1
