Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
197,Jaydon Mickens,JAX,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,Stacy Coley,NYG,WR,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,Cam Sims,WAS,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Janarion Grant,BAL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
197,Bradley Marquez,DET,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Pharoh Cooper,LAR,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Mike Thomas,LAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Jehu Chesson,WAS,WR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Geremy Davis,LAC,WR,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Jojo Natson,LAR,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Keenan Reynolds,SEA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Daniel Brown,CHI,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Javon Wims,CHI,WR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Brice Butler,MIA,WR,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Brandon Tate,NO,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,Cayleb Jones,MIN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Quadree Henderson,NYG,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,River Cracraft,DEN,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Lance Lenoir,DAL,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Trevor Davis,GB,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Saeed Blacknall,OAK,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Johnny Holton,OAK,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Kaelin Clay,NYG,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5,-1
225,Riley McCarron,NE,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1
225,JJ Jones,LAC,WR,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,-0.3,-1
228,Rod Streater,CLE,WR,3,0,0,0,0,0,0,0,0,1,-11,-11,0,0,0,-0.4,-1.1
