Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
489,LeSean McCoy,BUF,RB,1,BAL,7,22,3.1,0,3,1,-1,0,0,0,3.1,3.1
489,Trenton Cannon,NYJ,RB,1,DET,6,15,2.5,0,1,1,6,0,0,0,3.1,3.1
489,Chase Edmonds,ARI,RB,8,SF,2,9,4.5,0,2,1,12,0,0,0,3.1,3.1
489,Kyle Juszczyk,SF,FB,9,OAK,1,1,1,0,2,2,10,0,0,0,3.1,3.1
496,Rashaad Penny,SEA,RB,2,CHI,10,30,3,0,2,0,0,0,0,0,3,3
496,Peyton Barber,TB,RB,7,CLE,11,30,2.7,0,2,0,0,0,0,0,3,3
496,Josh Adams,PHI,RB,3,IND,6,30,5,0,0,0,0,0,0,0,3,3
496,Duke Johnson,CLE,RB,2,NO,3,3,1,0,2,2,7,0,0,0,3,3
496,Wendell Smallwood,PHI,RB,2,TB,7,28,4,0,1,1,2,0,1,1,3,3
496,Kenyan Drake,MIA,RB,3,OAK,5,3,0.6,0,4,2,7,0,0,0,3,3
496,Jacquizz Rodgers,TB,RB,9,CAR,2,14,7,0,3,2,-4,0,0,0,3,3
503,Roosevelt Nix,PIT,RB,2,KC,0,0,0,0,1,1,19,0,0,0,2.9,2.9
503,Gus Edwards,BAL,RB,8,CAR,2,12,6,0,1,1,7,0,0,0,2.9,2.9
503,Jacquizz Rodgers,TB,RB,7,CLE,3,8,2.7,0,1,1,11,0,0,0,2.9,2.9
503,Tyler Ervin,HOU,RB,7,JAX,0,0,0,0,1,1,19,0,1,0,2.9,2.9
503,Shaun Wilson,TB,RB,3,PIT,0,0,0,0,2,2,9,0,0,0,2.9,2.9
503,Marcus Murphy,BUF,RB,9,CHI,1,6,6,0,4,3,-7,0,0,0,2.9,2.9
509,Alfred Morris,SF,RB,8,ARI,6,28,4.7,0,0,0,0,0,0,0,2.8,2.8
509,Alfred Blue,HOU,RB,7,JAX,8,28,3.5,0,0,0,0,0,0,0,2.8,2.8
509,Alfred Morris,SF,RB,1,MIN,12,38,3.2,0,0,0,0,0,2,1,2.8,2.8
509,Alfred Morris,SF,RB,4,LAC,4,14,3.5,0,3,1,4,0,0,0,2.8,2.8
509,Wayne Gallman,NYG,RB,1,JAX,1,-1,-1,0,2,2,9,0,0,0,2.8,2.8
514,Jamaal Williams,GB,RB,4,BUF,11,27,2.5,0,0,0,0,0,0,0,2.7,2.7
514,Deandre Washington,OAK,RB,9,SF,5,27,5.4,0,0,0,0,0,0,0,2.7,2.7
514,Kapri Bibbs,WAS,RB,6,CAR,2,11,5.5,0,2,1,6,0,0,0,2.7,2.7
514,Mark Walton,CIN,RB,8,TB,2,7,3.5,0,1,1,10,0,0,0,2.7,2.7
514,Chris Thompson,WAS,RB,3,GB,6,17,2.8,0,2,1,0,0,0,0,2.7,2.7
514,Alfred Blue,HOU,RB,3,NYG,4,13,3.2,0,1,1,4,0,0,0,2.7,2.7
514,CJ Ham,MIN,RB,4,LAR,0,0,0,0,2,2,7,0,0,0,2.7,2.7
514,Ricky Ortiz,ATL,RB,7,NYG,0,0,0,0,2,2,7,0,0,0,2.7,2.7
522,Corey Clement,PHI,RB,1,ATL,5,26,5.2,0,0,0,0,0,0,0,2.6,2.6
522,Kenyan Drake,MIA,RB,4,NE,3,3,1,0,2,1,13,0,0,0,2.6,2.6
522,Anthony Sherman,KC,FB,3,SF,0,0,0,0,1,1,16,0,0,0,2.6,2.6
525,Nick Chubb,CLE,RB,6,LAC,3,25,8.3,0,0,0,0,0,0,0,2.5,2.5
525,Jordan Howard,CHI,RB,4,TB,11,25,2.3,0,1,0,0,0,0,0,2.5,2.5
525,Alfred Morris,SF,RB,7,LAR,9,25,2.8,0,1,0,0,0,0,0,2.5,2.5
525,Wayne Gallman,NYG,RB,3,HOU,6,25,4.2,0,1,0,0,0,0,0,2.5,2.5
525,Mike Gillislee,NO,RB,4,NYG,2,6,3,0,1,1,9,0,0,0,2.5,2.5
525,Anthony Sherman,KC,FB,5,JAX,0,0,0,0,1,1,15,0,0,0,2.5,2.5
