Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Chris Moore,3000,37.25,FALSE,-2,44,23,118,BAL,1.714285714,1.285714286,75,11.28571429,0,6.6,8.8,0.428571429,2,4.7,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,7.169636298
Andre Roberts,3100,46.87,FALSE,7.5,44.5,18.5,128,NYJ,1.142857143,0.428571429,37.5,3.571428571,0,3.1,8.3,0.142857143,0.285714286,2,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,7.163319422
Torrey Smith,3500,32.21,TRUE,2,44,21,71,CAR,4.5,2.666666667,59.3,28.5,0.333333333,6.3,10.7,0,0,0,0,7.8,0.5,0.5,100,2.333333333,0.333333333,4.7,4.7,0,0,0,0,3.1,7.100586804
Josh Malone,3000,49.47,TRUE,-4,54.5,29.25,162,CIN,0.666666667,0.166666667,25,2,0,3,12,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,7.093983634
Breshad Perriman,3000,47.12,FALSE,8,51,21.5,174,CLE,1,1,100,6,0,6,6,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,7.040865376
Brandon Marshall,3500,34.02,FALSE,3,49.5,23.25,100,SEA,3.833333333,1.833333333,47.8,22.66666667,0.166666667,5.9,12.4,0,0,0,0,5.1,0.5,0.166666667,33.3,3.333333333,0.166666667,6.7,20,0,0,0,0,1.5,6.97599091
Bennie Fowler,3300,38.35,TRUE,1,43,21,164,NYG,1,1,100,11,0,11,11,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,6.916755983
Jawill Davis,3000,38.35,TRUE,1,43,21,149,NYG,2,0.666666667,33.3,9,0,4.5,13.5,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,6.801966615
Daesean Hamilton,3000,39.64,FALSE,10,53.5,21.75,138,DEN,0.571428571,0.428571429,75,6.285714286,0,11,14.7,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,6.789491404
Seth Roberts,3400,36.71,TRUE,3,50,23.5,94,OAK,4.2,3,71.4,27.6,0.2,6.6,9.2,0,0,0,0,7,0.4,0.2,50,4,0.2,10,20,0,0,0,0,1.8,6.712484348
Tim Patrick,3000,39.64,FALSE,10,53.5,21.75,146,DEN,0.714285714,0.285714286,40,4.571428571,0,6.4,16,0,0,0,0,0.7,0.142857143,0,0,0,0,0,0,0,0,0,0,0,6.639895082
Khadarel Hodge,3000,37.53,TRUE,-9.5,56.5,33,160,LAR,0.25,0.25,100,3.5,0,14,14,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,6.397279943
David Moore,3600,34.02,FALSE,3,49.5,23.25,87,SEA,1.666666667,1.166666667,70,20.66666667,0.5,12.4,17.7,0.166666667,0.833333333,5,0,6.3,0.333333333,0.333333333,100,3.666666667,0.333333333,11,11,0,0,0,0,2.7,6.315300961
Justin Hunter,3000,43.51,TRUE,-8,51,29.5,174,PIT,2,0.333333333,16.7,2,0,1,6,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,6.086941731
Ryan Switzer,3100,43.51,TRUE,-8,51,29.5,102,PIT,2.5,2.166666667,86.7,11.16666667,0.166666667,4.5,5.2,0.666666667,2.333333333,3.5,0,4.5,0.166666667,0.166666667,100,0.166666667,0.166666667,1,1,0,0,0,0,1.2,6.059106583
JJ Nelson,3000,40.2,TRUE,-1,43,22,139,ARI,1.285714286,0.571428571,44.4,3,0,2.3,5.2,0.142857143,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.996425208
