Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1726,James Wright,CIN,WR,1,NYJ,1,1,100,7,0,7,7,7,2,-6,-3,0,0,0,1.1,1.1
1726,Braxton Miller,HOU,WR,2,KC,3,1,33.3,3,0,3,1,3,1,-2,-2,0,0,0,1.1,1.1
1726,De'Anthony Thomas,KC,WR,14,OAK,1,1,100,1,0,1,1,1,0,0,0,0,0,0,1.1,1.1
1726,James Wright,CIN,WR,6,NE,1,1,100,1,0,1,1,1,0,0,0,0,0,0,1.1,1.1
1726,Walter Powell,BUF,WR,12,JAX,1,1,100,1,0,1,1,1,0,0,0,0,0,0,1.1,1.1
1726,Chris Harper,SF,WR,16,LAR,1,1,100,1,0,1,1,1,0,0,0,0,0,0,1.1,1.1
1733,Chris Moore,BAL,WR,10,CLE,0,0,0,0,0,0,0,0,1,10,10,0,0,0,1,1
1733,Justin Hardy,ATL,WR,1,TB,2,1,50,0,0,0,0,0,0,0,0,0,0,0,1,1
1733,Andre Holmes,OAK,WR,8,TB,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,1
1733,JJ Nelson,ARI,WR,11,MIN,5,1,20,0,0,0,0,0,0,0,0,0,0,0,1,1
1733,Dez Bryant,DAL,WR,14,NYG,9,1,11.1,10,0,10,1.1,10,0,0,0,0,1,1,1,1
1738,Russell Shepard,TB,WR,1,ATL,0,0,0,0,0,0,0,0,1,9,9,0,0,0,0.9,0.9
1738,Lucky Whitehead,DAL,WR,5,CIN,0,0,0,0,0,0,0,0,1,9,9,0,1,0,0.9,0.9
1738,Tyler Lockett,SEA,WR,12,TB,6,0,0,0,0,0,0,0,1,9,9,0,0,0,0.9,0.9
1738,Tommylee Lewis,NO,WR,2,NYG,1,1,100,-1,0,-1,-1,-1,0,0,0,0,0,0,0.9,0.9
1738,Josh Huff,PHI,WR,2,CHI,1,1,100,-1,0,-1,-1,-1,1,0,0,0,0,0,0.9,0.9
1738,Brittan Golden,ARI,WR,12,ATL,3,1,33.3,-1,0,-1,-0.3,-1,0,0,0,0,0,0,0.9,0.9
1744,Lucky Whitehead,DAL,WR,4,SF,0,0,0,0,0,0,0,0,1,8,8,0,0,0,0.8,0.8
1744,Maurice Harris,WAS,WR,13,ARI,1,1,100,-2,0,-2,-2,-2,0,0,0,0,1,0,0.8,0.8
1746,Chris Moore,BAL,WR,13,MIA,2,0,0,0,0,0,0,0,1,7,7,0,0,0,0.7,0.7
1746,Phillip Dorsett,IND,WR,13,NYJ,1,0,0,0,0,0,0,0,1,7,7,0,0,0,0.7,0.7
1746,Josh Bellamy,CHI,WR,6,JAX,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0.7,0.7
1746,Tommylee Lewis,NO,WR,12,LAR,2,0,0,0,0,0,0,0,1,7,7,0,1,0,0.7,0.7
1750,Shane Wynn,JAX,WR,13,DEN,0,0,0,0,0,0,0,0,2,5,2.5,0,0,0,0.5,0.5
1750,Matthew Slater,NE,WR,5,CLE,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0.5,0.5
1750,Ted Ginn,CAR,WR,5,TB,1,1,100,5,0,5,5,5,0,0,0,0,1,1,0.5,0.5
1753,Brandon Tate,BUF,WR,4,NE,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0.4,0.4
